model_family,responsibility,role,n,p_switch,p_base,diff,ci_low,ci_high,sig,direction
doubao,neutral,role_A,40,1.0,1.0,0.0,0.0,0.0,False,ns
doubao,neutral,role_B,40,1.0,1.0,0.0,0.0,0.0,False,ns
doubao,neutral,role_C,40,0.0,1.0,-1.0,-1.0,-1.0,True,↓
doubao,neutral,role_D,40,0.475,1.0,-0.525,-0.675,-0.375,True,↓
doubao,neutral,role_E,40,0.4,1.0,-0.6,-0.75,-0.45,True,↓
doubao,neutral,role_F,40,0.85,1.0,-0.15,-0.275,-0.05,True,↓
doubao,neutral,role_G,40,1.0,1.0,0.0,0.0,0.0,False,ns
doubao,not_responsible,role_A,40,1.0,1.0,0.0,0.0,0.0,False,ns
doubao,not_responsible,role_B,40,1.0,1.0,0.0,0.0,0.0,False,ns
doubao,not_responsible,role_C,40,0.0,1.0,-1.0,-1.0,-1.0,True,↓
doubao,not_responsible,role_D,40,0.775,1.0,-0.225,-0.35,-0.1,True,↓
doubao,not_responsible,role_E,40,0.65,1.0,-0.35,-0.5,-0.2,True,↓
doubao,not_responsible,role_F,40,0.925,1.0,-0.075,-0.175,0.0,False,ns
doubao,not_responsible,role_G,40,1.0,1.0,0.0,0.0,0.0,False,ns
doubao,responsible,role_A,40,1.0,1.0,0.0,0.0,0.0,False,ns
doubao,responsible,role_B,40,1.0,1.0,0.0,0.0,0.0,False,ns
doubao,responsible,role_C,40,0.0,1.0,-1.0,-1.0,-1.0,True,↓
doubao,responsible,role_D,40,0.225,1.0,-0.775,-0.9,-0.625,True,↓
doubao,responsible,role_E,40,0.35,1.0,-0.65,-0.8,-0.5,True,↓
doubao,responsible,role_F,40,0.5,1.0,-0.5,-0.65,-0.35,True,↓
doubao,responsible,role_G,40,1.0,1.0,0.0,0.0,0.0,False,ns
gemini,neutral,role_A,40,0.25,0.25,0.0,-0.2,0.2,False,ns
gemini,neutral,role_B,40,0.825,0.25,0.575,0.375,0.75,True,↑
gemini,neutral,role_C,40,0.0,0.25,-0.25,-0.4,-0.125,True,↓
gemini,neutral,role_D,40,0.025,0.25,-0.225,-0.375,-0.075,True,↓
gemini,neutral,role_E,40,0.075,0.25,-0.175,-0.35,-0.025,True,↓
gemini,neutral,role_F,40,0.0,0.25,-0.25,-0.4,-0.125,True,↓
gemini,neutral,role_G,40,0.275,0.25,0.025,-0.175,0.225,False,ns
gemini,not_responsible,role_A,40,0.475,0.25,0.225,0.025,0.425,True,↑
gemini,not_responsible,role_B,40,1.0,0.25,0.75,0.6,0.875,True,↑
gemini,not_responsible,role_C,40,0.0,0.25,-0.25,-0.4,-0.125,True,↓
gemini,not_responsible,role_D,40,0.0,0.25,-0.25,-0.4,-0.125,True,↓
gemini,not_responsible,role_E,40,0.175,0.25,-0.075,-0.25,0.1,False,ns
gemini,not_responsible,role_F,40,0.0,0.25,-0.25,-0.4,-0.125,True,↓
gemini,not_responsible,role_G,40,0.425,0.25,0.175,-0.025,0.375,False,ns
gemini,responsible,role_A,40,0.25,0.25,0.0,-0.175,0.2,False,ns
gemini,responsible,role_B,40,0.675,0.25,0.425,0.225,0.625,True,↑
gemini,responsible,role_C,40,0.0,0.25,-0.25,-0.4,-0.125,True,↓
gemini,responsible,role_D,40,0.025,0.25,-0.225,-0.375,-0.075,True,↓
gemini,responsible,role_E,40,0.225,0.25,-0.025,-0.225,0.15,False,ns
gemini,responsible,role_F,40,0.0,0.25,-0.25,-0.4,-0.125,True,↓
gemini,responsible,role_G,40,0.125,0.25,-0.125,-0.3,0.05,False,ns
openai,neutral,role_A,40,0.675,0.675,0.0,-0.2,0.2,False,ns
openai,neutral,role_B,40,1.0,0.675,0.325,0.2,0.475,True,↑
openai,neutral,role_C,40,0.55,0.675,-0.125,-0.325,0.1,False,ns
openai,neutral,role_D,40,0.975,0.675,0.3,0.15,0.45,True,↑
openai,neutral,role_E,40,0.7,0.675,0.025,-0.175,0.225,False,ns
openai,neutral,role_F,40,0.55,0.675,-0.125,-0.325,0.1,False,ns
openai,neutral,role_G,40,0.875,0.675,0.2,0.025,0.375,True,↑
openai,not_responsible,role_A,40,0.8,0.675,0.125,-0.05,0.325,False,ns
openai,not_responsible,role_B,40,1.0,0.675,0.325,0.2,0.475,True,↑
openai,not_responsible,role_C,40,0.275,0.675,-0.4,-0.6,-0.2,True,↓
openai,not_responsible,role_D,40,0.85,0.675,0.175,0.0,0.35,False,ns
openai,not_responsible,role_E,40,0.775,0.675,0.1,-0.1,0.3,False,ns
openai,not_responsible,role_F,40,0.7,0.675,0.025,-0.175,0.225,False,ns
openai,not_responsible,role_G,40,0.925,0.675,0.25,0.1,0.425,True,↑
openai,responsible,role_A,40,0.675,0.675,0.0,-0.2,0.2,False,ns
openai,responsible,role_B,40,1.0,0.675,0.325,0.2,0.475,True,↑
openai,responsible,role_C,40,0.925,0.675,0.25,0.075,0.425,True,↑
openai,responsible,role_D,40,0.925,0.675,0.25,0.1,0.425,True,↑
openai,responsible,role_E,40,0.9,0.675,0.225,0.05,0.4,True,↑
openai,responsible,role_F,40,0.525,0.675,-0.15,-0.35,0.075,False,ns
openai,responsible,role_G,40,0.85,0.675,0.175,0.0,0.35,False,ns
