model_family,responsibility,role,dilemma,p_switch,p_switch_base,delta_p,ci_low,ci_high,delta_low,delta_high
doubao,neutral,role_B,dilemma_1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
doubao,neutral,role_C,dilemma_1,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0
doubao,neutral,role_D,dilemma_1,0.475,1.0,-0.525,0.325,0.625,-0.675,-0.375
doubao,neutral,role_E,dilemma_1,0.4,1.0,-0.6,0.25,0.55,-0.75,-0.44999999999999996
doubao,neutral,role_F,dilemma_1,0.85,1.0,-0.15000000000000002,0.725,0.95,-0.275,-0.050000000000000044
doubao,neutral,role_G,dilemma_1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
doubao,not_responsible,role_B,dilemma_1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
doubao,not_responsible,role_C,dilemma_1,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0
doubao,not_responsible,role_D,dilemma_1,0.775,1.0,-0.22499999999999998,0.65,0.9,-0.35,-0.09999999999999998
doubao,not_responsible,role_E,dilemma_1,0.65,1.0,-0.35,0.5,0.8,-0.5,-0.19999999999999996
doubao,not_responsible,role_F,dilemma_1,0.925,1.0,-0.07499999999999996,0.85,1.0,-0.15000000000000002,0.0
doubao,not_responsible,role_G,dilemma_1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
doubao,responsible,role_B,dilemma_1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
doubao,responsible,role_C,dilemma_1,0.0,1.0,-1.0,0.0,0.0,-1.0,-1.0
doubao,responsible,role_D,dilemma_1,0.225,1.0,-0.775,0.1,0.35,-0.9,-0.65
doubao,responsible,role_E,dilemma_1,0.35,1.0,-0.65,0.2,0.5,-0.8,-0.5
doubao,responsible,role_F,dilemma_1,0.5,1.0,-0.5,0.35,0.65,-0.65,-0.35
doubao,responsible,role_G,dilemma_1,1.0,1.0,0.0,1.0,1.0,0.0,0.0
gemini,neutral,role_B,dilemma_1,0.825,0.25,0.575,0.7,0.925,0.44999999999999996,0.675
gemini,neutral,role_C,dilemma_1,0.0,0.25,-0.25,0.0,0.0,-0.25,-0.25
gemini,neutral,role_D,dilemma_1,0.025,0.25,-0.225,0.0,0.075,-0.25,-0.175
gemini,neutral,role_E,dilemma_1,0.075,0.25,-0.175,0.0,0.175,-0.25,-0.07500000000000001
gemini,neutral,role_F,dilemma_1,0.0,0.25,-0.25,0.0,0.0,-0.25,-0.25
gemini,neutral,role_G,dilemma_1,0.275,0.25,0.025000000000000022,0.15,0.425,-0.1,0.175
gemini,not_responsible,role_B,dilemma_1,1.0,0.25,0.75,1.0,1.0,0.75,0.75
gemini,not_responsible,role_C,dilemma_1,0.0,0.25,-0.25,0.0,0.0,-0.25,-0.25
gemini,not_responsible,role_D,dilemma_1,0.0,0.25,-0.25,0.0,0.0,-0.25,-0.25
gemini,not_responsible,role_E,dilemma_1,0.175,0.25,-0.07500000000000001,0.05,0.3,-0.2,0.04999999999999999
gemini,not_responsible,role_F,dilemma_1,0.0,0.25,-0.25,0.0,0.0,-0.25,-0.25
gemini,not_responsible,role_G,dilemma_1,0.425,0.25,0.175,0.275,0.575,0.025000000000000022,0.32499999999999996
gemini,responsible,role_B,dilemma_1,0.675,0.25,0.42500000000000004,0.525,0.825,0.275,0.575
gemini,responsible,role_C,dilemma_1,0.0,0.25,-0.25,0.0,0.0,-0.25,-0.25
gemini,responsible,role_D,dilemma_1,0.025,0.25,-0.225,0.0,0.075,-0.25,-0.175
gemini,responsible,role_E,dilemma_1,0.225,0.25,-0.024999999999999994,0.1,0.35,-0.15,0.09999999999999998
gemini,responsible,role_F,dilemma_1,0.0,0.25,-0.25,0.0,0.0,-0.25,-0.25
gemini,responsible,role_G,dilemma_1,0.125,0.25,-0.125,0.025,0.225,-0.225,-0.024999999999999994
openai,neutral,role_B,dilemma_1,1.0,0.675,0.32499999999999996,1.0,1.0,0.32499999999999996,0.32499999999999996
openai,neutral,role_C,dilemma_1,0.55,0.675,-0.125,0.4,0.7,-0.275,0.02499999999999991
openai,neutral,role_D,dilemma_1,0.975,0.675,0.29999999999999993,0.925,1.0,0.25,0.32499999999999996
openai,neutral,role_E,dilemma_1,0.7,0.675,0.02499999999999991,0.55,0.825,-0.125,0.1499999999999999
openai,neutral,role_F,dilemma_1,0.55,0.675,-0.125,0.4,0.7,-0.275,0.02499999999999991
openai,neutral,role_G,dilemma_1,0.875,0.675,0.19999999999999996,0.775,0.975,0.09999999999999998,0.29999999999999993
openai,not_responsible,role_B,dilemma_1,1.0,0.675,0.32499999999999996,1.0,1.0,0.32499999999999996,0.32499999999999996
openai,not_responsible,role_C,dilemma_1,0.275,0.675,-0.4,0.15,0.425,-0.525,-0.25000000000000006
openai,not_responsible,role_D,dilemma_1,0.85,0.675,0.17499999999999993,0.725,0.95,0.04999999999999993,0.2749999999999999
openai,not_responsible,role_E,dilemma_1,0.775,0.675,0.09999999999999998,0.65,0.9,-0.025000000000000022,0.22499999999999998
openai,not_responsible,role_F,dilemma_1,0.7,0.675,0.02499999999999991,0.55,0.825,-0.125,0.1499999999999999
openai,not_responsible,role_G,dilemma_1,0.925,0.675,0.25,0.825,1.0,0.1499999999999999,0.32499999999999996
openai,responsible,role_B,dilemma_1,1.0,0.675,0.32499999999999996,1.0,1.0,0.32499999999999996,0.32499999999999996
openai,responsible,role_C,dilemma_1,0.925,0.675,0.25,0.825,1.0,0.1499999999999999,0.32499999999999996
openai,responsible,role_D,dilemma_1,0.925,0.675,0.25,0.825,1.0,0.1499999999999999,0.32499999999999996
openai,responsible,role_E,dilemma_1,0.9,0.675,0.22499999999999998,0.8,0.975,0.125,0.29999999999999993
openai,responsible,role_F,dilemma_1,0.525,0.675,-0.15000000000000002,0.375,0.675,-0.30000000000000004,0.0
openai,responsible,role_G,dilemma_1,0.85,0.675,0.17499999999999993,0.725,0.95,0.04999999999999993,0.2749999999999999
