model_family,role,n,p_switch,diff,ci_low,ci_high,sig,direction
doubao,role_A,40,0.0,0.0,0.0,0.0,False,ns
doubao,role_B,40,0.0,0.0,0.0,0.0,False,ns
doubao,role_C,40,0.0,0.0,0.0,0.0,False,ns
doubao,role_D,40,0.0,0.0,0.0,0.0,False,ns
doubao,role_E,40,0.0,0.0,0.0,0.0,False,ns
doubao,role_F,40,0.0,0.0,0.0,0.0,False,ns
doubao,role_G,40,0.0,0.0,0.0,0.0,False,ns
gemini,role_A,40,0.0,0.0,0.0,0.0,False,ns
gemini,role_B,40,0.125,0.125,0.025,0.225,True,↑
gemini,role_C,40,0.0,0.0,0.0,0.0,False,ns
gemini,role_D,40,0.025,0.025,0.0,0.075,False,ns
gemini,role_E,40,0.65,0.65,0.5,0.8,True,↑
gemini,role_F,40,0.0,0.0,0.0,0.0,False,ns
gemini,role_G,40,0.6,0.6,0.45,0.75,True,↑
openai,role_A,40,0.0,0.0,0.0,0.0,False,ns
openai,role_B,40,0.175,0.175,0.075,0.3,True,↑
openai,role_C,40,0.0,0.0,0.0,0.0,False,ns
openai,role_D,40,0.0,0.0,0.0,0.0,False,ns
openai,role_E,40,0.0,0.0,0.0,0.0,False,ns
openai,role_F,40,0.0,0.0,0.0,0.0,False,ns
openai,role_G,40,0.025,0.025,0.0,0.1,False,ns
